user_id,Studio_User,inactive_days
mandydunlap,true,37
s0p02s4,true,58
ryangrove,true,60
mgavronski,true,35
dennisjuschas,true,34
dsalazar94,true,36
sherry1227,true,52
alexshortful,true,40
irinarrr,true,33
kweezaw,true,30
rebeccaevans13460,true,53
greggimard,true,32
apdoelsaed,true,59
nataliekassir,true,57
markedwards1,true,54
sertav,true,33
123wyxfaq,true,49
negronivoyages,true,36
wangzhifeng,true,32
18991200756,true,32
phxcomms,true,59
dubuenobr,true,31
preston123,true,33
rollowenlock,true,57
shaunhj,true,30
vivahate666,true,37
pilalves,true,30
csgarrison,true,60
desemon,true,59
mtbproject,true,49
brinkmedia,true,50
zoocreative,true,46
alogy,true,53
saurabhde,true,59
adrienvh,true,59
peakmaps,true,48
equipmentshare,true,59
grollier,true,52
kaiseisuwa,true,33
martin586085,true,55
5132132,true,42
vegmap,true,39
13218575272,true,45
2901105,true,42
syamasaki,true,38
francib27,true,45
pgeib,true,59
gbond,true,37
vvsp,true,54
dhruvs,true,52
rhynland,true,47
nitroserv,true,39
vovandrog,true,53
kashuk,true,34
tantsurov73,true,58
codeychai,true,41
rfukmapping,true,59
nembali,true,30
ericcarlschwartz,true,48
tingzhang,true,53
dianli,true,44
grubse,true,49
geggegegge28,true,38
rodpaschoal,true,48
cy4830,true,44
voxeus,true,40
nosoymilo,true,58
ugomare,true,43
rahulmawari,true,30
chrystelletableau,true,34
jimmynarang,true,35
remona,true,34
formation-tech,true,60
vvnt,true,48
d-donohoe,true,59
digitalkatie,true,30
victoroliveiraspk,true,38
1991kkp,true,52
tinawang94,true,42
smartfelix007,true,50
donaldtla,true,38
maconex,true,38
ringking,true,30
maximegeles1,true,47
jane159,true,43
shroff010,true,48
morgan-cleaver,true,53
mohamedhegaz,true,57
lbramen,true,41
miguelgp,true,44
alexmreistotful1,true,37
amuro,true,54
carrillo,true,54
evox321,true,51
aminreza,true,54
jdestefano,true,45
rosavail,true,40
milobtc,true,46
aka4ce,true,52
boskos,true,38
meallie,true,53
ali-jozaghi,true,47
shari0507,true,44
lrnco,true,44
saibai,true,52
datalkz,true,33
vidhi22,true,37
chantelp,true,48
clairewaring997,true,47
yanitzi,true,32
msilviu,true,49
bluisast,true,43
doifeelsafe,true,52
sfhaefner,true,43
georginalafont,true,59
sfsgar,true,34
lukasballo,true,47
felixfox,true,45
kimyoung,true,42
ivanblecic,true,56
afuro0723,true,39
marinaprodanova,true,51
948945033,true,55
meegolo,true,42
tothemax47,true,57
mariakon,true,38
synopticdata,true,57
daqa,true,57
swatinfosystem,true,34
lauhortela,true,60
bololo21,true,60
199877,true,59
shihabrahman828,true,58
zhabiz,true,57
danhfg,true,30
zhangchen90,true,34
studio-beta-tester-3,true,31
quizact,true,54
bghubusa,true,38
fridiana,true,40
dacapoo,true,31
eattias,true,37
gabbyz,true,35
dipak89,true,40
lawsosa,true,43
timsayer,true,51
javaliapps,true,46
lulu368764113,true,60
larahekimoglu,true,34
bgllowery,true,44
madeleinerose,true,39
skysharkgraphics,true,51
swaroop1995,true,43
